Observation,Action,Points
"Copyright (c) 1981, 1982, 1983 Infocom, Inc. All rights reserved.
ZORK is a registered trademark of Infocom, Inc.
Revision 88 / Serial number 840726

West of House
You are standing in an open field west of a white house, with a boarded front door.
There is a small mailbox here.

",N,0
"North of House
You are facing the north side of a white house. There is no door here, and all the windows are boarded up. To the north a narrow path winds through the trees.

",N,0
"Forest Path
This is a path winding through a dimly lit forest. The path heads north-south here. One particularly large tree with some low branches stands at the edge of the path.

",U,0
"Up a Tree
You are about 10 feet above the ground nestled among some large branches. The nearest branch above you is above your reach.
Beside you on the branch is a small bird's nest.
In the bird's nest is a large egg encrusted with precious jewels, apparently scavenged by a childless songbird. The egg is covered with fine gold inlay, and ornamented in lapis lazuli and mother-of-pearl. Unlike most eggs, this one is hinged and closed with a delicate looking clasp. The egg appears extremely fragile.

",Get egg,5
"Taken.

",D,0
"Forest Path

",S,0
"North of House

",E,0
"Behind House
You are behind the white house. A path leads into the forest to the east. In one corner of the house there is a small window which is slightly ajar.

",Open window,0
"With great effort, you open the window far enough to allow entry.

",W,10
"Kitchen
You are in the kitchen of the white house. A table seems to have been used recently for the preparation of food. A passage leads to the west and a dark staircase can be seen leading upward. A dark chimney leads down and to the east is a small window which is open.
On the table is an elongated brown sack, smelling of hot peppers.
A bottle is sitting on the table.
The glass bottle contains:
  A quantity of water

",Open sack,0
"Opening the brown sack reveals a lunch, and a clove of garlic.

",Get garlic,0
"Taken.

",W,0
"Living Room
You are in the living room. There is a doorway to the east, a wooden door with strange gothic lettering to the west, which appears to be nailed shut, a trophy case, and a large oriental rug in the center of the room.
Above the trophy case hangs an elvish sword of great antiquity.
A battery-powered brass lantern is on the trophy case.

",Get lamp,0
"Taken.

",E,0
"Kitchen
A bottle is sitting on the table.
The glass bottle contains:
  A quantity of water
There is a brown sack here.
The brown sack contains:
  A lunch

",U,0
"You have moved into a dark place.
It is pitch black. You are likely to be eaten by a grue.

",Light lamp,0
"The brass lantern is now on.

Attic
This is the attic. The only exit is a stairway leading down.
A large coil of rope is lying in the corner.
On a table is a nasty-looking knife.

",Get rope,0
"Taken.

",Get knife,0
"Taken.

",D,0
"Kitchen
A bottle is sitting on the table.
The glass bottle contains:
  A quantity of water
There is a brown sack here.
The brown sack contains:
  A lunch

",Douse lamp,0
"The brass lantern is now off.

",W,0
"Living Room
Above the trophy case hangs an elvish sword of great antiquity.

",Get sword,0
"Taken.

",Move rug,0
"With a great effort, the rug is moved to one side of the room, revealing the dusty cover of a closed trap door.

",Open trapdoor,0
"The door reluctantly opens to reveal a rickety staircase descending into darkness.

",D,25
"You have moved into a dark place.
The trap door crashes shut, and you hear someone barring it.

It is pitch black. You are likely to be eaten by a grue.
Your sword is glowing with a faint blue glow.

",Light lamp,0
"The brass lantern is now on.

Cellar
You are in a dark and damp cellar with a narrow passageway leading north, and a crawlway to the south. On the west is the bottom of a steep metal ramp which is unclimbable.

",N,0
"The Troll Room
This is a small room with passages to the east and south and a forbidding hole leading west. Bloodstains and deep scratches (perhaps made by an axe) mar the walls.
A nasty-looking troll, brandishing a bloody axe, blocks all passages out of the room.
Your sword has begun to glow very brightly.

",Kill troll with sword,0
"The fatal blow strikes the troll square in the heart:  He dies.
Almost as soon as the troll breathes his last breath, a cloud of sinister black fog envelops him, and when the fog lifts, the carcass has disappeared.
Your sword is no longer glowing.

",drop egg,0
"Dropped.

",E,5
"East-West Passage
This is a narrow east-west passageway. There is a narrow stairway leading down at the north end of the room.

",E,0
"Round Room
This is a circular stone room with passages in all directions. Several of them have unfortunately been blocked by cave-ins.

",Se,0
"Engravings Cave
You have entered a low cave with passages leading northwest and east.
There are old engravings on the walls here.

",E,0
"Dome Room
You are at the periphery of a large dome, which forms the ceiling of another room below. Protecting you from a precipitous drop is a wooden railing which circles the dome.

",Tie rope to railing,0
"The rope drops over the side and comes within ten feet of the floor.

",D,0
"Torch Room
This is a large room with a prominent doorway leading to a down staircase. Above you is a large dome. Up around the edge of the dome (20 feet up) is a wooden railing. In the center of the room sits a white marble pedestal.
A piece of rope descends from the railing above, ending some five feet above your head.
Sitting on the pedestal is a flaming torch, made of ivory.

",Douse lamp,0
"The brass lantern is now off.

",Get torch,14
"Taken.

",D,0
"Temple
This is the north end of a large temple. On the east wall is an ancient inscription, probably a prayer in a long-forgotten language. Below the prayer is a staircase leading down. The west wall is solid granite. The exit to the north end of the room is through huge marble pillars.
There is a brass bell here.

",S,0
"Altar
This is the south end of a large temple. In front of you is what appears to be an altar. In one corner is a small hole in the floor which leads into darkness. You probably could not get back up it.
On the two ends of the altar are burning candles.
On the altar is a large black book, open to page 569.

",Drop sword,0
"Dropped.

",Get candles,0
"Taken.

",Douse candles,0
"The flame is extinguished.

",Get book,0
"Taken.

",N,0
"Temple
There is a brass bell here.

",Get bell,0
"Taken.

",E,0
"Egyptian Room
This is a room which looks like an Egyptian tomb. There is an ascending staircase to the west.
The solid-gold coffin used for the burial of Ramses II is here.

",Open coffin,0
"The gold coffin opens.
A sceptre, possibly that of ancient Egypt itself, is in the coffin. The sceptre is ornamented with colored enamel, and tapers to a sharp point.

",Get sceptre,4
"Taken.

",W,0
"Temple

",S,0
"Altar
There is a sword here.

",Pray,0
"Forest
This is a forest, with trees in all directions. To the east, there appears to be sunlight.

",E,0
"Forest Path

",S,0
"North of House

",E,0
"Behind House

",W,0
"Kitchen
A bottle is sitting on the table.
The glass bottle contains:
  A quantity of water
There is a brown sack here.
The brown sack contains:
  A lunch

",W,0
"Living Room

",Read book,0
"Commandment #12592

Oh ye who go about saying unto each:  ""Hello sailor"":
Dost thou know the magnitude of thy sin before the gods?
Yea, verily, thou shalt be ground between two stones.
Shall the angry gods cast thy body into the whirlpool?
Surely, thy eye shall be put out with a sharp stick!
Even unto the ends of the earth shalt thou wander and
Unto the land of the dead shalt thou be sent at last.
Surely thou shalt repent of thy cunning.

",Drop all,0
"sceptre: Dropped.
brass bell: Dropped.
black book: Dropped.
pair of candles: Dropped.
torch: Dropped.
nasty knife: Dropped.
brass lantern: Dropped.
clove of garlic: Dropped.

",get torch,0
"Taken.

",get lamp,0
"Taken.

",Open trapdoor,0
"The door reluctantly opens to reveal a rickety staircase descending into darkness.

",D,0
"Cellar
There is a bloody axe here.

",N,0
"The Troll Room

",E,0
"East-West Passage

",E,0
"Round Room

",Se,0
